Item Name,Link,Cost (CAD),Amount,Total (USD)
Ceramic Capacitor 0.1 μF 50V X7R 0603,https://www.lcsc.com/product-detail/C14663.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JYVV1UQFNZUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D,0.3,1,0.3
Ceramic Capacitor 4.7 μF 10V X5R 0603,https://www.lcsc.com/product-detail/C1705.html?s_z=n_q_Ceramic%2520Capacitor%25204.7%25E2%2580%25AF%25CE%25BCF%252010V%2520X5R%25200603&spm=wm.fly.bg.0.xh&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbVlZSRVhcXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFNWV11TQU8GEwkK,0.33,1,0.33
LED Orange Clear Chip SMD,https://www.lcsc.com/product-detail/C5355434.html?s_z=n_q_0603%2520orange%2520led%25203v&spm=wm.fly.bg.0.xh&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbVlVSR1ZWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D,0.61,1,0.61
LED Red Clear Chip SMD,https://www.lcsc.com/product-detail/C7280956.html?s_z=n_q_0603%2520red%2520led%25203.3v&spm=wm.fly.bg.0.xh&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbVlZXQVZYVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.52,1,0.52
LED Green Clear Chip SMD,https://www.lcsc.com/product-detail/C5123548.html?s_z=n_q_0603%2520green%2520led%25203v&spm=wm.fly.bg.0.xh&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbVlVRRFlaUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D,0.55,1,0.55
Connector Header R/A 3‑Pos 2.54 mm,https://www.lcsc.com/product-detail/C19190476.html?s_z=n_q_t_3%2520pin%2520&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbV1FSR1JfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.99,1,0.99
Resistor SMD 150 Ω 0.1% 1/10W 0603,https://www.lcsc.com/product-detail/C114608.html?s_z=n_q_t_50%25E2%2580%25AF%25CE%25A9%25200603&spm=wm.fly.bg.0.xh___wm.ssy.tc.1.tz&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbV1RRRFJbUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlhZX1ZIHxUDCw%3D%3D,0.15,1,0.15
Resistor SMD 4.7 kΩ 1% 1/10W 0603,https://www.lcsc.com/product-detail/C2907168.html?s_z=n_q_t_4.7%25E2%2580%25AFk%25CE%25A9%25200603&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JbV1RWRVBfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1heU1RIHxUDCw%3D%3D,0.15,1,0.15
Trimmer 100 kΩ J‑Lead Top,https://www.lcsc.com/product-detail/C719186.html?s_z=n_q_TC33X-2-104E&spm=wm.fly.bg.0.xh&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JaXl1VRFBYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.68,1,0.68
MCU STM32F030F4P6 32‑bit 16KB,https://www.lcsc.com/product-detail/C89040.html?s_z=n_q_STM32F030F4P6&spm=wm.fly.bg.0.xh&lcsc_vid=EgUPXlMCEVkPV11QFgBcBAEFQ1dXAVBVRVMLBAVUR1IxVlNRT1JaXl1eRFBaUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFJcUFVQQ08GEwkK,0.7935,3,2.38
